date,n_valid_pixels,n_fire_pixels_label,conf_max,conf_mean,conf_p90,t21_max,t21_mean,t21_p90,n_conf_ge_30,n_conf_ge_50,n_conf_ge_60,n_conf_ge_70,n_conf_ge_80,n_t21_ge_325,n_t21_ge_350,n_t21_ge_375,n_both_conf60_t21325,n_both_conf70_t21350
2020-12-29,1217568,132,86.0,68.17424011230469,86.0,329.1000061035156,313.6515197753906,328.79998779296875,132,105,101,82,36,29,0,0,29,0
2020-12-30,1217568,175,100.0,59.55428695678711,85.0,384.20001220703125,310.9365539550781,327.29998779296875,165,130,92,47,27,27,4,4,27,4
2020-12-31,1217568,74,82.0,57.39189147949219,82.0,322.29998779296875,307.5580749511719,322.29998779296875,74,34,34,24,10,0,0,0,0,0
2021-01-01,1217568,20,65.0,56.0,65.0,307.1000061035156,304.46002197265625,307.1000061035156,20,12,12,0,0,0,0,0,0,0
2021-01-02,1217568,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021-01-03,1217568,51,75.0,48.64706039428711,75.0,314.3999938964844,305.0823974609375,314.3999938964844,51,21,18,12,0,0,0,0,0,0
2021-01-04,1217568,43,74.0,67.39534759521484,74.0,322.70001220703125,314.20465087890625,322.70001220703125,43,40,29,25,0,0,0,0,0,0
2021-01-05,1217568,61,85.0,52.68852615356445,85.0,327.79998779296875,307.7721862792969,327.79998779296875,52,32,22,15,15,10,0,0,10,0
2021-01-06,1217568,10,48.0,48.0,48.0,312.70001220703125,312.70001220703125,312.70001220703125,10,0,0,0,0,0,0,0,0,0
2021-01-07,1217568,78,74.0,52.25640869140625,63.0,314.20001220703125,304.1153564453125,306.6000061035156,78,25,18,7,0,0,0,0,0,0
2021-01-08,1217568,71,78.0,56.88135528564453,78.0,318.29998779296875,306.41839599609375,318.29998779296875,59,33,25,15,0,0,0,0,0,0
2021-01-09,1217568,34,63.0,56.117645263671875,63.0,306.1000061035156,303.79412841796875,306.1000061035156,34,34,11,0,0,0,0,0,0,0
2021-01-10,1217568,66,85.0,52.19696807861328,69.0,327.29998779296875,306.227294921875,309.6000061035156,66,24,18,4,4,4,0,0,4,0
